,Extracted,Education,Skills & Experience
0,"Education: BE from NMAM Institute of Technology, Poorna Prajna PU College Admar and Ganapathi High School Padubidri. 
Key Skills: C programming basics, Core java, SQL/PLSQL, Quick learner and team player, Good communication skills, Art of convincing and Public speaking. 
Experience: 3 months trining at Infosys; Effectiveness Lab Organizational Effectiveness Labs and Immersive Group Workshop conducted by I-Point Consulting Services Private Limited during the Academic Years 2009-10 & 2010-11; Successfully completed ' Feel Employable' Learning And Development Intervention conducted by AIM INSIGHTS Mangalore; 7 Seminars given on Enzymatic Hydrolysis of Complex Carbohydrates to produce Fermentable and Digestible Sugars; 8 Seminars attended on Microbial Polysaccarides.","BE from NMAM Institute of Technology, Poorna Prajna PU College Admar and Ganapathi High School Padubidri.","C programming basics, Core java, SQL/PLSQL, Quick learner and team player, Good communication skills, Art of convincing and Public speaking. 
Experience: 3 months trining at Infosys; Effectiveness Lab Organizational Effectiveness Labs and Immersive Group Workshop conducted by I-Point Consulting Services Private Limited during the Academic Years 2009-10 & 2010-11; Successfully completed ' Feel Employable' Learning And Development Intervention conducted by AIM INSIGHTS Mangalore; 7 Seminars given on Enzymatic Hydrolysis of Complex Carbohydrates to produce Fermentable and Digestible Sugars; 8 Seminars attended on Microbial Polysaccarides."
1,"Education: B.E. in E&TC (2015), Diploma (2012), SSC (2009). Key Skills: C, CSS, Database, Dot, Java. Experiences: Fresher; B.E Project - Designer and Tester; Diploma Project - Designer and Tester; Certifications/Licenses - SCTS dot net developer & PSTS software tester; Other Technical Skills - Basic Java, CSS, C#, SQL MVC & Dot Net.","B.E. in E&TC (2015), Diploma (2012), SSC (2009).","C, CSS, Database, Dot, Java. Experiences: Fresher; B.E Project - Designer and Tester; Diploma Project - Designer and Tester; Certifications/Licenses - SCTS dot net developer & PSTS software tester; Other Technical Skills - Basic Java, CSS, C#, SQL MVC & Dot Net."
2,"Education: PGDBM from Narsee Monjee Institute of Management Studies (2017-2018) 
Key Skills: Microsoft Azure SQL DW, Azure Data Factory, SQL Server 2016, Power BI dashboard, Rest API; Program Management (2 years), Product Management (2 years), Quality Assurance (10+ years), Business intelligence, Devops; Visual Studio 2012, Microsoft Test Manager 2012, Azure, Test Automation using Coded UI, Unit Test Framework; Scrum Product Owner & Master. 
Experience: 10+ yrs in Quality Assurance with roles such as Architect at Microsoft India for 5 yrs and Sr Consultant for 4 yrs. Managed test teams for Data Warehouse/SQL Server BI projects & .Net App Development Projects. Played role of Test Lead/Manager in all engagements.",PGDBM from Narsee Monjee Institute of Management Studies (2017-2018),"Microsoft Azure SQL DW, Azure Data Factory, SQL Server 2016, Power BI dashboard, Rest API; Program Management (2 years), Product Management (2 years), Quality Assurance (10+ years), Business intelligence, Devops; Visual Studio 2012, Microsoft Test Manager 2012, Azure, Test Automation using Coded UI, Unit Test Framework; Scrum Product Owner & Master. 
Experience: 10+ yrs in Quality Assurance with roles such as Architect at Microsoft India for 5 yrs and Sr Consultant for 4 yrs. Managed test teams for Data Warehouse/SQL Server BI projects & .Net App Development Projects. Played role of Test Lead/Manager in all engagements."
3,"Education: Bachelor Of Technology in insurance from SRIKALAHASTEESWARA INSTITUTE OF TECHNOLOGY 
Key Skills: file systems, Linux, maintenance, scheduling 
Experience: 2.1 years of Experience in IT; Currently working as a Linux Administration at Infosys; Knowledge in installing and maintenance and troubleshooting Linux Operating Systems; Installation, Configuration, Maintenance and Administration of Red Hat Enterprise 5/6; Checking CPU Utilization, Memory Utilization & Disk Utilization for performance monitoring; Managing User Administration; Creating new file systems through LVM etc.",Bachelor Of Technology in insurance from SRIKALAHASTEESWARA INSTITUTE OF TECHNOLOGY,"file systems, Linux, maintenance, scheduling 
Experience: 2.1 years of Experience in IT; Currently working as a Linux Administration at Infosys; Knowledge in installing and maintenance and troubleshooting Linux Operating Systems; Installation, Configuration, Maintenance and Administration of Red Hat Enterprise 5/6; Checking CPU Utilization, Memory Utilization & Disk Utilization for performance monitoring; Managing User Administration; Creating new file systems through LVM etc."
4,"Education: Bachelor's Degree in Computer Science 
Key Skills: HTML/HTML5, CSS/CSS3, SASS, LESS, JavaScript, AngularJS, AJAX, JSON, Bootstrap, JQuery NodeJS ECMAScript 6 MongoDB Cordova and Ionic Framework (basics), Angular 2 Typescript Backbone.js and React (POCS) 
Experience: 6+ years of experience in Web Application Development with a focus on Front-end Development; Proficiency in Software Development Life Cycle (SDLC); Hands on experience in Front-end Web Design & Dev using HTML5 CSS3 JavaScript jQuery AJAX; Solid Experience of web service using Ajax for processing JSON/XML between front-end & back-end; Strong Experience w/ Twitter Bootstrap 3 framework & Media Query to create responsive websites; Experienced w/ Design Dev of web apps using Apache Tomcat 7.x/8.x Server; Hands-on exp handling response data from RESTful WSs using XML JSON; Used Bower as Web tools for successful implem of dependencies; Used Gulp & Grunt as task runner.",Bachelor's Degree in Computer Science,"HTML/HTML5, CSS/CSS3, SASS, LESS, JavaScript, AngularJS, AJAX, JSON, Bootstrap, JQuery NodeJS ECMAScript 6 MongoDB Cordova and Ionic Framework (basics), Angular 2 Typescript Backbone.js and React (POCS) 
Experience: 6+ years of experience in Web Application Development with a focus on Front-end Development; Proficiency in Software Development Life Cycle (SDLC); Hands on experience in Front-end Web Design & Dev using HTML5 CSS3 JavaScript jQuery AJAX; Solid Experience of web service using Ajax for processing JSON/XML between front-end & back-end; Strong Experience w/ Twitter Bootstrap 3 framework & Media Query to create responsive websites; Experienced w/ Design Dev of web apps using Apache Tomcat 7.x/8.x Server; Hands-on exp handling response data from RESTful WSs using XML JSON; Used Bower as Web tools for successful implem of dependencies; Used Gulp & Grunt as task runner."
5,"Education: B.Tech in Electronics and Communications (2013), Sri Chaitanya Junior College Hyderabad, Board of Intermediate Education (2009). 
Key Skills: Database (3 years), Eclipse (3 years), iOS (3 years), Java (3 years), JSON. (3 years) 
Experiences: Application Developer at IBM India Pvt. Ltd for 3+ yrs; Involved in design, development, testing, troubleshooting & debugging of software; Carried out system study & coordinated with team members for product documentation, system design & integration; Provided post-implementation support to client w/regard to software application; Maintained integrity & traceability of products as they evolve from user needs through requirement analysis etc.; Liaised with key clients & acquired profitable business for providing systems support.","B.Tech in Electronics and Communications (2013), Sri Chaitanya Junior College Hyderabad, Board of Intermediate Education (2009).","Database (3 years), Eclipse (3 years), iOS (3 years), Java (3 years), JSON. (3 years) 
Experiences: Application Developer at IBM India Pvt. Ltd for 3+ yrs; Involved in design, development, testing, troubleshooting & debugging of software; Carried out system study & coordinated with team members for product documentation, system design & integration; Provided post-implementation support to client w/regard to software application; Maintained integrity & traceability of products as they evolve from user needs through requirement analysis etc.; Liaised with key clients & acquired profitable business for providing systems support."
6,"Education: Engineering in Computer Science from JEC Jaipur. 
Key Skills: MS Office, Libra Office, Internet Application, MS Excel 2016, HTML, SQL, Core Java. 
Experience: 1.6 years of successful experience in position of increasing responsibility and duties; Hands on experience with various banking software such as Finacle 10; FCRM its oracle based system; People Soft; Passion to work under varied circumstances and a strong commitment towards accomplishing Individual and Organizational Objectives.",Engineering in Computer Science from JEC Jaipur.,"MS Office, Libra Office, Internet Application, MS Excel 2016, HTML, SQL, Core Java. 
Experience: 1.6 years of successful experience in position of increasing responsibility and duties; Hands on experience with various banking software such as Finacle 10; FCRM its oracle based system; People Soft; Passion to work under varied circumstances and a strong commitment towards accomplishing Individual and Organizational Objectives."
7,"Education: B.E. in ENC from North Maharashtra University (2017). 
Key Skills: C++, Databases, Eclipse, Essbase, Hyperion, Python and Java. 
Experience: Associate Software Engineer at Oracle India Pvt Ltd., experience with Oracle Hyperion Products and Automation Scripting using Python and batch scripting; application maintenance and client support.",B.E. in ENC from North Maharashtra University (2017).,"C++, Databases, Eclipse, Essbase, Hyperion, Python and Java. 
Experience: Associate Software Engineer at Oracle India Pvt Ltd., experience with Oracle Hyperion Products and Automation Scripting using Python and batch scripting; application maintenance and client support."
8,"Education: B.Tech, Institute of Road and Transport (May-October 1980) 
Key Skills: Core Java, JavaScript, OOJS, HTML 4/5, CSS 3, DOJO, Angular JS , REST Web services 
Experience: Lead Engineer at Cisco (June 2014 - Present); Senior Systems Engineer at Finacle Industry Banking Client Universal Banking Product from Infosys (June 2012 - June 2014); Systems Engineer at Finacle Industry Banking Client Universal Banking Product from Infosys (October 2011 - May 2012). Responsibilities included front end enhancements for the core product; discussing and finalizing UI screens with functional and design teams; writing validation routines; regression testing using Service Testing Framework.","B.Tech, Institute of Road and Transport (May-October 1980)","Core Java, JavaScript, OOJS, HTML 4/5, CSS 3, DOJO, Angular JS , REST Web services 
Experience: Lead Engineer at Cisco (June 2014 - Present); Senior Systems Engineer at Finacle Industry Banking Client Universal Banking Product from Infosys (June 2012 - June 2014); Systems Engineer at Finacle Industry Banking Client Universal Banking Product from Infosys (October 2011 - May 2012). Responsibilities included front end enhancements for the core product; discussing and finalizing UI screens with functional and design teams; writing validation routines; regression testing using Service Testing Framework."
9,"Education: PGDBM in Business Management from Narsee Monji. 
Key Skills: Datawarehouse/Business Intelligence, Agile Methodologies, Program Management, Product Roadmap, Stakeholder Management and Risk Management. 
Experience: 15+ years of experience in IT & Services Industry with multiple roles such as DevOps Architect, Program Manager/Product Owner and Consultant. Delivered engagements in US, UK etc., built analytical platforms and solutions using .Net MVC API etc., expertise on Quality Assurance & Continuous Quality Process setup & implementation and Presales.",PGDBM in Business Management from Narsee Monji.,"Datawarehouse/Business Intelligence, Agile Methodologies, Program Management, Product Roadmap, Stakeholder Management and Risk Management. 
Experience: 15+ years of experience in IT & Services Industry with multiple roles such as DevOps Architect, Program Manager/Product Owner and Consultant. Delivered engagements in US, UK etc., built analytical platforms and solutions using .Net MVC API etc., expertise on Quality Assurance & Continuous Quality Process setup & implementation and Presales."
